13A,motor neuron,weight,query,post_id,n,id.x,names.x,id.y,X,id,valid,classification_system,pt_supervoxel_id,pt_root_id,pt_position
13A-R-9b,femur_reductor_in_trochanter,5,648518346511967856,648518346488884209,1,648518346487640386,R13A10f,648518346511967856,91,394,t,L2_T1R,73608525183925532,648518346486618829,[46927 85388  2543]
13A-R-5c,femur_reductor_in_trochanter,11,648518346515388743,648518346489813708,1,648518346496985496,R13A6f,648518346515388743,92,395,t,L2_T1R,73960506142445890,648518346499935750,[55843 88497  2179]
13A-R-5a,femur_reductor_in_trochanter,4,648518346486371464,648518346489813708,1,648518346486371464,R13A4a,648518346486371464,92,395,t,L2_T1R,73960506142445890,648518346499935750,[55843 88497  2179]
13A-R-6d,femur_reductor_in_trochanter,12,648518346472000923,648518346489813708,1,648518346479398848,R13A7h_12a,648518346472000923,92,395,t,L2_T1R,73960506142445890,648518346499935750,[55843 88497  2179]
13A-R-6b,femur_reductor_in_trochanter,10,648518346507405599,648518346489813708,1,648518346485868484,R13A7b,648518346507405599,92,395,t,L2_T1R,73960506142445890,648518346499935750,[55843 88497  2179]
13A-R-δ-10e,femur_reductor_in_trochanter,6,648518346490237905,648518346489813708,1,648518346489562711,R13A_δ_xp,648518346490237905,92,395,t,L2_T1R,73960506142445890,648518346499935750,[55843 88497  2179]
13A-R-9c,femur_reductor_in_trochanter,14,648518346481463909,648518346489813708,1,648518346477520398,R13A10j_12g,648518346481463909,92,395,t,L2_T1R,73960506142445890,648518346499935750,[55843 88497  2179]
13A-R-9c,femur_reductor_in_trochanter,14,648518346481463909,648518346489813708,1,648518346477520398,R13A12d,648518346481463909,92,395,t,L2_T1R,73960506142445890,648518346499935750,[55843 88497  2179]
13A-R-6f,femur_reductor_in_trochanter,7,648518346484181533,648518346489813708,1,648518346500872348,R13A7g,648518346484181533,92,395,t,L2_T1R,73960506142445890,648518346499935750,[55843 88497  2179]
13A-R-9e,femur_reductor_in_trochanter,4,648518346502495059,648518346489813708,1,648518346485791614,R13A11h_10a,648518346502495059,92,395,t,L2_T1R,73960506142445890,648518346499935750,[55843 88497  2179]
13A-R-9b,femur_reductor_in_trochanter,10,648518346511967856,648518346489813708,1,648518346487640386,R13A10f,648518346511967856,92,395,t,L2_T1R,73960506142445890,648518346499935750,[55843 88497  2179]
13A-R-5d,femur_reductor_in_trochanter,10,648518346503212667,648518346489813708,1,648518346479366363,R13A6b,648518346503212667,92,395,t,L2_T1R,73960506142445890,648518346499935750,[55843 88497  2179]
13A-R-5e,femur_reductor_in_trochanter,4,648518346488798392,648518346489813708,1,648518346475882978,R13A6c,648518346488798392,92,395,t,L2_T1R,73960506142445890,648518346499935750,[55843 88497  2179]
13A-R-9i,femur_reductor_in_trochanter,13,648518346524266501,648518346489813708,1,648518346489624671,R13A10g,648518346524266501,92,395,t,L2_T1R,73960506142445890,648518346499935750,[55843 88497  2179]
13A-R-5b,femur_reductor_in_trochanter,14,648518346492510147,648518346489813708,1,648518346496702332,R13A6d,648518346492510147,92,395,t,L2_T1R,73960506142445890,648518346499935750,[55843 88497  2179]
13A-R-5d,femur_reductor_in_trochanter,19,648518346503212667,648518346496027594,1,648518346479366363,R13A6b,648518346503212667,93,396,t,L2_T1R,73819768922192827,648518346486619085,[52534 88655  2584]
13A-R-9i,femur_reductor_in_trochanter,19,648518346524266501,648518346496027594,1,648518346489624671,R13A10g,648518346524266501,93,396,t,L2_T1R,73819768922192827,648518346486619085,[52534 88655  2584]
13A-R-6d,femur_reductor_in_trochanter,18,648518346472000923,648518346496027594,1,648518346479398848,R13A7h_12a,648518346472000923,93,396,t,L2_T1R,73819768922192827,648518346486619085,[52534 88655  2584]
